Month,Foods
January,"Beetroot, Brussels Sprouts, Cauliflower, Celeriac, Celery, Chicory, Horseradish, Jerusalem Artichoke, Kale, Kohlrabi, Leeks, Parsnips, Potatoes (Maincrop), Salsify, Shallots, Swede, Truffles (Black), Turnips, Apples, Blood Oranges, Clementines, Kiwi Fruit, Lemons, Oranges, Passion Fruit, Pears, Pineapple, Pomegranate, Rhubarb, Satsumas, Tangerines, Almonds, Brazil Nuts, Walnuts, Duck, Guinea Fowl, Hare, Mallard, Partridge, Turkey, Venison, Clams, Cockles, Dab, Dover Sole, Gurnard, Haddock, Halibut, Hake, Langoustine, Lemon Sole, Lobster, Mackerel, Mussels, Oysters, Red Mullet, Scallops (Queen), Sea Bream, Skate, Turbot, Winkles"
February,"Brussels Sprouts, Cauliflower, Celeriac, Chicory, Jerusalem Artichoke, Kale, Kohlrabi, Leeks, Parsnips, Potatoes (Maincrop), Purple Sprouting Broccoli, Salsify, Shallots, Swede, Truffles (Black), Turnips, Bananas (Windward), Blood Oranges, Clementines, Kiwi Fruit, Lemons, Oranges, Passion Fruit, Pineapple, Pomegranate, Rhubarb, Guinea Fowl, Hare, Partridge, Turkey, Venison, Clams, Cockles, Dab, Dover Sole, Gurnard, Haddock, Halibut, Hake, Langoustine, Lemon Sole, Lobster, Mackerel, Mussels, Oysters, Red Mullet, Salmon, Scallops (Queen), Skate, Turbot, Winkles"
March,"Cauliflower, Kale, Leeks, Purple Sprouting Broccoli, Salsify, Spinach, Spring Onions, Swede, Wild Nettles, Bananas (Windward), Blood Oranges, Kiwi Fruit, Lemons, Oranges, Passion Fruit, Pineapple, Rhubarb, Cockles, Dab, Dover Sole, Gurnard, Hake, Langoustine, Lemon Sole, Lobster, Mussels, Oysters, Red Mullet, Salmon, Shrimp, Whitebait, Winkles"
April,"Asparagus, Broccoli, Jersey Royal New Potatoes, Lettuce & Salad Leaves, Purple Sprouting Broccoli, Radishes, Rocket, Samphire, Spinach, Spring Onions, Watercress, Wild Nettles, Bananas (Windward), Kiwi Fruit, Rhubarb, Basil, Chives, Dill, Sorrel, Lamb, Wood Pigeon, Cockles, Crab, Langoustine, Lobster, Plaice, Prawns, Salmon, Sea Trout, Shrimp, Whitebait"
May,"Asparagus, Broccoli, Carrots, Jersey Royal New Potatoes, Lettuce & Salad Leaves, New Potatoes, Peas, Radishes, Rocket, Samphire, Spinach, Spring Onions, Watercress, Wild Nettles, Bananas (Windward), Kiwi Fruit, Rhubarb, Basil, Chervil, Chives, Coriander, Dill, Oregano, Mint, Nasturtium, Parsley (Curly), Rosemary, Sage, Sorrel, Tarragon, Lamb, Wood Pigeon, Cod, Coley, Crab, Haddock, Langoustine, Plaice, Prawns, Salmon, Sardines, Sea Trout, Shrimp, Whelks, Whitebait"
June,"Artichoke, Asparagus, Aubergine, Beetroot, Broad Beans, Broccoli, Carrots, Chillies, Courgettes, Fennel, French Beans, Garlic, Jersey Royal New Potatoes, Kohlrabi, Lettuce & Salad Leaves, Mangetout, New Potatoes, Onions, Pak Choi, Peas, Radishes, Rocket, Runner Beans, Samphire, Spinach, Spring Onions, Tomatoes, Turnips, Watercress, Wild Nettles, Apricots, Bilberries, Blueberries, Cherries, Gooseberries, Greengages, Kiwi Fruit, Peaches, Strawberries, Basil, Chervil, Chives, Coriander, Dill, Elderflowers, Oregano, Mint, Nasturtium, Parsley (Curly), Parsley (Flat-Leafed), Rosemary, Sage, Sorrel, Tarragon, Thyme, Lamb, Wood Pigeon, Cod, Coley, Crab, Haddock, Halibut, Herring, Langoustine, Plaice, Pollack, Prawns, Salmon, Sardines, Scallops (Queen), Sea Bream, Sea Trout, Shrimp, Squid, Whelks, Whitebait"
July,"Artichoke, Aubergine, Beetroot, Broad Beans, Broccoli, Carrots, Chillies, Courgettes, Fennel, French Beans, Garlic, Jersey Royal New Potatoes, Kohlrabi, Lettuce & Salad Leaves, Mangetout, New Potatoes, Onions, Pak Choi, Peas, Radishes, Rocket, Runner Beans, Samphire, Spinach, Spring Onions, Tomatoes, Turnips, Watercress, Wild Nettles, Apricots, Bilberries, Blueberries, Cherries, Gooseberries, Greengages, Kiwi Fruit, Melons, Peaches, Strawberries, Basil, Chervil, Chives, Coriander, Dill, Elderflowers, Oregano, Mint, Nasturtium, Parsley (Curly), Parsley (Flat-Leafed), Rosemary, Sage, Sorrel, Tarragon, Thyme, Lamb, Rabbit, Wood Pigeon, Cod, Coley, Crab, Dover Sole, Haddock, Halibut, Herring, Langoustine, Mackerel, Plaice, Pollack, Prawns, Salmon, Sardines, Scallops (Queen), Sea Bream, Sea Trout, Shrimp, Squid, Whelks, Whitebait"
August,"Artichoke, Aubergine, Beetroot, Broad Beans, Broccoli, Carrots, Chillies, Courgettes, Cucumber, Fennel, French Beans, Garlic, Kohlrabi, Lettuce & Salad Leaves, Mangetout, Marrow, Onions, Pak Choi, Peas, Peppers, Potatoes (Maincrop), Radishes, Rocket, Runner Beans, Spring Onions, Sweetcorn, Tomatoes, Turnips, Watercress, Wild Mushrooms, Apricots, Bilberries, Blueberries, Cherries, Damsons, Figs, Greengages, Loganberries, Melons, Nectarines, Peaches, Plums, Raspberries, Redcurrants, Strawberries, Basil, Chives, Coriander, Oregano, Mint, Parsley (Curly), Parsley (Flat-Leafed), Rosemary, Sage, Sorrel, Tarragon, Thyme, Beef, Lamb, Rabbit, Venison, Wood Pigeon, Cod, Coley, Crab, Dab, Dover Sole, Grey Mullet, Haddock, Halibut, Herring, Langoustine, Lemon Sole, Mackerel, Monkfish, Pilchard, Plaice, Pollack, Prawns, Red Mullet, Salmon, Sardines, Scallops (Queen), Sea Bass (Wild), Sea Bream, Sea Trout, Shrimp, Squid, Whelks"
September,"Artichoke, Aubergine, Beetroot, Broccoli, Butternut Squash, Carrots, Celeriac, Celery, Chillies, Courgettes, Cucumber, Fennel, French Beans, Garlic, Horseradish, Kale, Kohlrabi, Leeks, Lettuce & Salad Leaves, Mangetout, Marrow, Onions, Pak Choi, Peppers, Potatoes (Maincrop), Pumpkin, Radishes, Rocket, Runner Beans, Shallots, Spring Onions, Sweetcorn, Tomatoes, Turnips, Watercress, Wild Mushrooms, Apples, Bilberries, Blackberries, Damsons, Elderberries, Figs, Grapes, Medlar, Melons, Nectarines, Peaches, Pears, Plums, Raspberries, Redcurrants, Chestnuts, Chives, Cob Nuts, Coriander, Oregano, Mint, Parsley (Curly), Parsley (Flat-Leafed), Rosemary, Sage, Sorrel, Thyme, Beef, Duck, Grouse, Guinea Fowl, Hare, Lamb, Mallard, Pheasant, Rabbit, Turkey, Venison, Wood Pigeon, Clams, Cod, Coley, Crab, Dab, Dover Sole, Grey Mullet, Haddock, Halibut, Hake, Herring, Lemon Sole, Mackerel, Monkfish, Mussels, Oysters, Pilchard, Plaice, Pollack, Prawns, Red Mullet, Sea Bass (Wild), Sea Bream, Shrimp, Squid, Turbot, Whelks, Winkles"
October,"Artichoke, Beetroot, Broccoli, Butternut Squash, Celeriac, Celery, Chicory, Chillies, Fennel, Garlic, Horseradish, Jerusalem Artichoke, Kale, Kohlrabi, Leeks, Lettuce & Salad Leaves, Marrow, Parsnips, Potatoes (Maincrop), Pumpkin, Radishes, Rocket, Runner Beans, Salsify, Shallots, Swede, Sweetcorn, Tomatoes, Truffles (Black), Truffles (White), Turnips, Watercress, Wild Mushrooms, Apples, Bilberries, Blackberries, Elderberries, Figs, Grapes, Medlar, Pears, Quince, Almonds, Brazil Nuts, Chestnuts, Chives, Cob Nuts, Hazelnuts, Parsley (Curly), Rosemary, Sage, Sorrel, Thyme, Walnuts, Beef, Duck, Goose, Grouse, Guinea Fowl, Hare, Lamb, Mallard, Partridge, Pheasant, Rabbit, Turkey, Venison, Wood Pigeon, Clams, Cod, Coley, Crab, Dab, Dover Sole, Grey Mullet, Gurnard, Haddock, Halibut, Hake, Herring, Lemon Sole, Lobster, Mackerel, Monkfish, Mussels, Oysters, Pilchard, Plaice, Pollack, Prawns, Red Mullet, Sea Bass (Wild), Sea Bream, Skate, Squid, Turbot, Winkles"
November,"Artichoke, Beetroot, Butternut Squash, Cauliflower, Celeriac, Celery, Chicory, Horseradish, Jerusalem Artichoke, Kale, Kohlrabi, Leeks, Parsnips, Potatoes (Maincrop), Pumpkin, Salsify, Shallots, Swede, Truffles (Black), Truffles (White), Turnips, Watercress, Wild Mushrooms, Apples, Clementines, Cranberries, Passion Fruit, Pears, Pomegranate, Quince, Satsumas, Almonds, Brazil Nuts, Chestnuts, Cob Nuts, Hazelnuts, Rosemary, Sage, Walnuts, Beef, Duck, Goose, Grouse, Guinea Fowl, Hare, Lamb, Mallard, Partridge, Pheasant, Rabbit, Turkey, Venison, Wood Pigeon, Clams, Cod, Coley, Crab, Dab, Dover Sole, Gurnard, Haddock, Halibut, Hake, Lemon Sole, Lobster, Mackerel, Monkfish, Mussels, Oysters, Plaice, Pollack, Red Mullet, Sea Bass (Wild), Sea Bream, Skate, Squid, Turbot, Winkles"
December,"Beetroot, Brussels Sprouts, Cauliflower, Celeriac, Celery, Chicory, Horseradish, Jerusalem Artichoke, Kale, Kohlrabi, Leeks, Parsnips, Potatoes (Maincrop), Salsify, Shallots, Swede, Truffles (Black), Truffles (White), Turnips, Wild Mushrooms, Apples, Clementines, Cranberries, Passion Fruit, Pears, Pineapple, Pomegranate, Satsumas, Tangerines, Almonds, Brazil Nuts, Chestnuts, Hazelnuts, Walnuts, Duck, Goose, Grouse, Guinea Fowl, Hare, Mallard, Partridge, Pheasant, Rabbit, Turkey, Venison, Clams, Cod, Coley, Dab, Dover Sole, Gurnard, Haddock, Halibut, Hake, Langoustine, Lemon Sole, Lobster, Mackerel, Monkfish, Mussels, Oysters, Plaice, Red Mullet, Scallops (Queen), Sea Bass (Wild), Sea Bream, Skate, Turbot, Winkles"
